account_id,company_name,contact_name,contact_role,phone,email,property_address,zip_code,property_type,units_or_sqft,signal_summary,estimated_value_band,offer_type,pipeline_stage,next_action,next_action_date,owner_confidence_score,last_touch_date,proposal_amount,win_probability,notes
BTL-001,Harbor Row Holdings,,,,100 Light St,21202,Office,120000,"Older asset, mixed-use indicators, high base-charge risk","$10k-$30k",Asset Shield,Targeting,Build evidence packet,2026-02-20,72,2026-02-18,,0.25,
BTL-002,Pratt Corridor Partners,,,,200 E Pratt St,21202,Office,98000,"Legacy meter class risk, likely recoverable history","$8k-$25k",Asset Shield,Targeting,Validate owner and mailing address,2026-02-20,68,2026-02-18,,0.22,
BTL-003,Lexington Portfolio LLC,,,,1 N Eutaw St,21201,Mixed-Use,85000,"Older building, potential billing mismatch","$6k-$20k",Asset Shield,Targeting,Run full discrepancy scan,2026-02-21,64,2026-02-18,,0.18,
BTL-004,Howard Street Ops LLC,,,,300 N Howard St,21201,Retail,42000,"Multiple tenants, possible classification drift","$5k-$15k",Asset Shield,Targeting,Prepare one-page findings brief,2026-02-21,61,2026-02-18,,0.17,
BTL-005,Central Medical Plaza,,,,123 Main St,21201,Medical,56000,"Multi-practice site, compliance ops opportunity","$12k-$40k",Compliance Shield,Targeting,Map tenant roster and service gaps,2026-02-22,70,2026-02-18,,0.20,
BTL-006,Inner Harbor Dental Group,,,,,,,,,"Manifest cadence unclear","$6k-$18k/yr",Compliance Shield,Prospecting,Outreach to practice admin,2026-02-22,58,2026-02-18,,0.16,
BTL-007,Monument Professional Suites,,,,,,,,,"Potential for building-wide compliance bundle","$15k-$45k/yr",Compliance Shield,Prospecting,Book discovery call,2026-02-23,62,2026-02-18,,0.19,
BTL-008,Charles Street Property Mgmt,,,,500 N Charles St,21201,Office,76000,"Potential tax and permit record inconsistencies","$15k-$30k",Advisory,Targeting,Perform desktop record reconciliation,2026-02-24,55,2026-02-18,,0.15,
BTL-009,Fells Point Mixed Use Trust,,,,700 S Broadway,21231,Mixed-Use,49000,"Historic property with likely utility complexity","$7k-$22k",Asset Shield,Targeting,Request utility history authorization,2026-02-24,59,2026-02-18,,0.16,
BTL-010,Midtown Portfolio Owners,,,,1200 N Calvert St,21202,Office,102000,"Portfolio structure supports recurring engagement","$30k-$90k/yr",Compliance Shield,Targeting,Build multi-site proposal outline,2026-02-25,66,2026-02-18,,0.21,
